β;mu;md;mπ^A;Δmπ^A;mπ^C;Δmπ^C;fπ^A;Δfπ^A;fπ^C;Δfπ^C;mAWI;ΔmAWI
6.900000000000000355e+00;-9.000000000000000222e-01;-5.000000000000000000e-01;1.228107749465509935e+00;2.618963464340999872e-03;9.297520775846700447e-01;3.029248932435999950e-03;1.794458070174060060e-01;1.733533181938000031e-03;1.288027907789350002e-01;1.750225353293999959e-03;3.723768166030669846e-01;7.213942274861999578e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-5.500000000000000444e-01;1.180970927177040108e+00;2.448108987378999797e-03;9.119703447819870190e-01;3.034423185609000026e-03;1.774087596920760068e-01;1.911191853414999928e-03;1.238554295210470002e-01;1.465047372222999956e-03;3.398524681678999904e-01;6.479298595626000433e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-5.999999999999999778e-01;1.121686188542339924e+00;1.342495786455999906e-03;8.910483514096739777e-01;1.887289339115999932e-03;1.727230630076309892e-01;1.017086299616999992e-03;1.228926239526769992e-01;9.313089009790000063e-04;3.057336911039190142e-01;3.145854819989999957e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-6.500000000000000222e-01;1.056003435970400028e+00;2.906280284417999803e-03;8.677420244010439765e-01;3.031362958325999838e-03;1.618563991782429878e-01;1.995077248505000046e-03;1.224269493169100054e-01;1.707814742162000032e-03;2.702007306052650049e-01;5.917224246816000371e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-6.999999999999999556e-01;9.930861407844829847e-01;1.555488825730000054e-03;8.493788439128889811e-01;1.946809366040999894e-03;1.602837800730410045e-01;1.109538216956000014e-03;1.261565689738430029e-01;1.021633858366999964e-03;2.355338797550980134e-01;3.188064132566999914e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-7.500000000000000000e-01;9.196311631169029610e-01;1.878942206689999950e-03;8.199498142028489589e-01;2.151874280060999799e-03;1.547573963685829890e-01;1.167861233982999932e-03;1.278752497043199876e-01;1.041239574637999954e-03;1.999990819637129935e-01;3.180292722135999797e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-8.000000000000000444e-01;8.255685334392569574e-01;1.958487067020999936e-03;7.689816616282070250e-01;2.485428551188999854e-03;1.415220806266080100e-01;1.273146188353000037e-03;1.263199690469110070e-01;1.106012080053000004e-03;1.629783892223770070e-01;2.986883320242000091e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-8.499999999999999778e-01;7.130682381500560441e-01;2.382463668186000048e-03;6.953014049977089828e-01;2.316380791962000148e-03;1.280699019735259958e-01;1.396748936108000100e-03;1.234497245912720004e-01;1.068270641572000024e-03;1.220347779631670015e-01;2.936399220838999992e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-8.599999999999999867e-01;6.938147740290480092e-01;3.128493703104999989e-03;6.819215289682060144e-01;2.820219745084999886e-03;1.242328463647089931e-01;1.703436578417000073e-03;1.224664854929080060e-01;1.417377092506000085e-03;1.103244300475819950e-01;3.176228520629000105e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-8.699999999999999956e-01;6.604632091494230250e-01;3.696377101571000131e-03;6.530502683264010066e-01;2.960564977018000088e-03;1.194789656285319968e-01;1.718703134030000017e-03;1.186789523343370067e-01;1.612594510630999903e-03;1.034000286838390043e-01;3.365197726890999975e-03
